Time [s],Value,Parity Error,Framing Error
13.3932600000,0xC0,,
13.3943100000,0x5C,,
13.3953600000,0x80,,
13.3964100000,0x5C,,
13.3974600000,0xC0,,
13.3985100000,0x5C,,
13.3995600000,0x82,,
13.4006150000,0xCA,,
13.4016650000,0x5C,,
13.4027150000,0x5C,,
13.4037650000,0xC8,,
13.4048150000,0x5C,,
13.4058650000,0xE2,,
13.4069150000,0x7C,,
13.6515600000,0x3C,,
13.6526150000,0xC0,,
13.6536650000,0x5C,,
13.6547150000,0x80,,
13.6557650000,0x5C,,
13.6568150000,0xC0,,
13.6578650000,0x5C,,
13.6589150000,0x82,,
13.6599700000,0xCA,,
13.6610200000,0x5C,,
13.6620700000,0x5C,,
13.6631200000,0xC8,,
13.6641700000,0x5C,,
13.6652200000,0xE2,,
13.6662700000,0x7C,,
13.9125500000,0x3C,,
13.9136000000,0xC0,,
13.9146550000,0x5C,,
13.9157050000,0x80,,
13.9167550000,0x5C,,
13.9178050000,0xC0,,
13.9188550000,0x5C,,
13.9199050000,0x82,,
13.9209550000,0xCA,,
13.9220100000,0x5C,,
13.9230600000,0x5C,,
13.9241100000,0xC8,,
13.9251600000,0x5C,,
13.9262100000,0xE2,,
13.9272600000,0x7C,,
14.1823950000,0x3C,,
14.1834450000,0xC0,,
14.1844950000,0x5C,,
14.1855450000,0x80,,
14.1866000000,0x5C,,
14.1876500000,0xC0,,
14.1887000000,0x5C,,
14.1897500000,0x82,,
14.1908000000,0xCA,,
14.1918500000,0x5C,,
14.1929000000,0x5C,,
14.1939500000,0xC8,,
14.1950050000,0x5C,,
14.1960550000,0xE2,,
14.1971050000,0x7C,,
14.4643550000,0x3C,,
14.4654050000,0xC0,,
14.4664550000,0x5C,,
14.4675050000,0x80,,
14.4685550000,0x5C,,
14.4696050000,0xC0,,
14.4706550000,0x5C,,
14.4717100000,0x82,,
14.4727600000,0xCA,,
14.4738100000,0x5C,,
14.4748600000,0x5C,,
14.4759100000,0xC8,,
14.4769600000,0x5C,,
14.4780100000,0xE2,,
14.4790650000,0x7C,,
14.7354150000,0x3C,,
14.7364650000,0xC0,,
14.7375150000,0x5C,,
14.7385650000,0x80,,
14.7396200000,0x5C,,
14.7406700000,0xC0,,
14.7417200000,0x5C,,
