Time [s],Value,Parity Error,Framing Error
12.1444750000,0x70,,
12.1456200000,0x5C,,
12.1467650000,0x60,,
12.1479100000,0x5C,,
12.1490550000,0x82,,
12.1502000000,0xCA,,
12.1513450000,0xF8,,
12.1524900000,0xF8,,
12.1536350000,0x8C,,
12.1547800000,0x1C,,
12.1559250000,0x0C,,
12.1570700000,0xCC,,
12.1582150000,0xAC,,
12.1593600000,0x9C,,
12.1605050000,0x8C,,
12.1616500000,0x8C,,
12.1627950000,0x5C,,
12.1639400000,0x78,,
12.1650850000,0x5C,,
12.1662300000,0xE2,,
12.1673750000,0x7C,,
12.2299450000,0x3C,,
12.2310900000,0x80,,
12.2322350000,0x5C,,
12.2333800000,0xC0,,
12.2345250000,0x5C,,
12.2356700000,0xE0,,
12.2368150000,0x5C,,
12.2379600000,0x60,,
12.2391050000,0x5C,,
12.2402500000,0x0A,,
12.2413950000,0x0A,,
12.2425400000,0x0C,,
12.2436850000,0x8C,,
12.2448300000,0x0C,,
12.2459750000,0x5C,,
12.2471200000,0x4C,,
12.2482650000,0x5C,,
12.2494100000,0xE2,,
12.2505550000,0x7C,,
12.4886500000,0x3C,,
12.4897950000,0x80,,
12.4909400000,0x5C,,
12.4920850000,0xC0,,
12.4932300000,0x5C,,
12.4943750000,0x70,,
12.4955200000,0x5C,,
12.4966650000,0x60,,
12.4978100000,0x5C,,
12.4989550000,0x82,,
12.5001000000,0xCA,,
12.5012450000,0xF8,,
12.5023900000,0xF8,,
12.5035350000,0x8C,,
12.5046800000,0xEC,,
12.5058250000,0xAC,,
12.5069700000,0xCC,,
12.5081150000,0xAC,,
12.5092600000,0x9C,,
12.5104100000,0x8C,,
12.5115550000,0x8C,,
12.5127000000,0x5C,,
12.5138450000,0x28,,
12.5149900000,0x5C,,
12.5161350000,0xE2,,
12.5172800000,0x7C,,
12.7566200000,0x3C,,
12.7577650000,0x80,,
12.7589100000,0x5C,,
12.7600550000,0xC0,,
12.7612000000,0x5C,,
12.7623450000,0x70,,
12.7634900000,0x5C,,
12.7646350000,0x60,,
12.7657800000,0x5C,,
12.7669250000,0x82,,
12.7680750000,0xCA,,
12.7692200000,0xF8,,
12.7703650000,0xF8,,
12.7715100000,0x8C,,
12.7726550000,0x6C,,
12.7738000000,0x1C,,
12.7749450000,0xCC,,
12.7760900000,0xAC,,
12.7772350000,0x9C,,
12.7783800000,0x8C,,
12.7795250000,0x8C,,
12.7806700000,0x5C,,
12.7818150000,0x18,,
12.7829600000,0x5C,,
12.7841050000,0xE2,,
12.7852500000,0x7C,,
13.0247050000,0x3C,,
13.0258500000,0x80,,
13.0269950000,0x5C,,
13.0281400000,0xC0,,
13.0292850000,0x5C,,
13.0304300000,0x70,,
13.0315750000,0x5C,,
13.0327200000,0x60,,
13.0338650000,0x5C,,
13.0350100000,0x82,,
13.0361550000,0xCA,,
13.0373000000,0xF8,,
13.0384450000,0xF8,,
13.0395900000,0x8C,,
13.0407350000,0x6C,,
13.0418800000,0x8C,,
13.0430250000,0xCC,,
13.0441700000,0xAC,,
13.0453150000,0x9C,,
13.0464650000,0x8C,,
13.0476100000,0x8C,,
13.0487550000,0x5C,,
13.0499000000,0x88,,
13.0510450000,0x5C,,
13.0521900000,0xE2,,
13.0533350000,0x7C,,
13.2926900000,0x3C,,
13.2938350000,0x80,,
13.2949800000,0x5C,,
13.2961250000,0xC0,,
13.2972700000,0x5C,,
13.2984150000,0x70,,
13.2995600000,0x5C,,
13.3007050000,0x60,,
13.3018500000,0x5C,,
13.3029950000,0x82,,
13.3041400000,0xCA,,
13.3052900000,0xF8,,
13.3064350000,0xF8,,
13.3075800000,0x8C,,
13.3087250000,0xAC,,
13.3098700000,0x2C,,
13.3110150000,0xCC,,
13.3121600000,0xAC,,
13.3133050000,0x9C,,
13.3144500000,0x8C,,
13.3155950000,0x8C,,
13.3167400000,0x5C,,
13.3178850000,0xE8,,
13.3190300000,0x5C,,
13.3201750000,0xE2,,
13.3213200000,0x7C,,
13.5606750000,0x3C,,
13.5618200000,0x80,,
13.5629650000,0x5C,,
13.5641100000,0xC0,,
13.5652550000,0x5C,,
13.5664000000,0x70,,
13.5675450000,0x5C,,
13.5686900000,0x60,,
13.5698350000,0x5C,,
13.5709800000,0x82,,
13.5721250000,0xCA,,
13.5732700000,0xF8,,
13.5744150000,0xF8,,
13.5755600000,0x8C,,
13.5767050000,0x2C,,
13.5778500000,0x6C,,
13.5789950000,0xCC,,
13.5801400000,0xAC,,
13.5812850000,0x9C,,
13.5824300000,0x8C,,
13.5835750000,0x8C,,
13.5847200000,0x5C,,
13.5858650000,0x28,,
13.5870100000,0x5C,,
13.5881550000,0xE2,,
13.5893000000,0x7C,,
13.8183450000,0x3C,,
13.8194900000,0x80,,
13.8206350000,0x5C,,
13.8217800000,0xC0,,
13.8229250000,0x5C,,
13.8240700000,0x70,,
13.8252150000,0x5C,,
13.8263600000,0x60,,
13.8275050000,0x5C,,
13.8286500000,0x82,,
13.8297950000,0xCA,,
13.8309450000,0xF8,,
13.8320900000,0xF8,,
13.8332350000,0x8C,,
13.8343800000,0xCC,,
13.8355250000,0x9C,,
13.8366700000,0xCC,,
13.8378150000,0xAC,,
13.8389600000,0x9C,,
13.8401050000,0x8C,,
13.8412500000,0x8C,,
13.8423950000,0x5C,,
13.8435400000,0x38,,
13.8446850000,0x5C,,
13.8458300000,0xE2,,
13.8469750000,0x7C,,
14.0864350000,0x3C,,
14.0875800000,0x80,,
14.0887250000,0x5C,,
14.0898700000,0xC0,,
14.0910150000,0x5C,,
14.0921600000,0x70,,
14.0933050000,0x5C,,
14.0944500000,0x60,,
14.0955950000,0x5C,,
14.0967400000,0x82,,
14.0978900000,0xCA,,
14.0990350000,0xF8,,
14.1001800000,0xF8,,
14.1013250000,0x8C,,
14.1024700000,0xCC,,
14.1036150000,0x4C,,
14.1047600000,0xCC,,
14.1059050000,0xAC,,
14.1070500000,0x9C,,
14.1081950000,0x8C,,
14.1093400000,0x8C,,
14.1104850000,0x5C,,
14.1116300000,0xE8,,
14.1127750000,0x5C,,
14.1139200000,0xE2,,
14.1150650000,0x7C,,
14.3441100000,0x3C,,
14.3452550000,0x80,,
14.3464000000,0x5C,,
14.3475450000,0xC0,,
14.3486900000,0x5C,,
14.3498350000,0x70,,
14.3509800000,0x5C,,
14.3521250000,0x60,,
14.3532750000,0x5C,,
14.3544200000,0x82,,
14.3555650000,0xCA,,
